num_lectures,price,days_since_published,content_duration
26,95,1789,2.5
104,115,2408,5.5
29,100,1703,1.5
13,95,1844,1.0
22,150,2149,1.5
88,200,1922,7.0
35,25,2921,8.5
304,200,2152,30.5
10,95,1851,1.0
53,55,2606,3.0
5,20,2872,1.0
19,35,1739,1.0
103,195,1765,6.5
24,50,2213,3.5
14,80,2429,0.5
27,20,2332,3.0
49,50,1733,3.0
19,105,2594,2.0
75,50,3300,12.5
55,30,1927,4.5
5,20,2573,0.55
171,65,1837,19.0
235,100,1970,19.5
48,30,2173,3.0
12,25,1774,0.5
16,25,2997,4.5
19,20,2495,2.5
37,0,1887,2.5
104,110,2195,14.0
39,20,2345,4.0
7,40,1891,0.5833333333333334
6,0,2547,1.5
7,20,1712,1.0
7,40,2081,1.5
19,30,1725,3.0
26,50,1871,1.0
88,50,2584,6.0
51,50,3069,7.5
23,0,2058,2.0
10,20,1740,2.5
14,20,3284,1.5
9,20,2069,1.0
47,40,2275,0.7333333333333333
74,20,2243,4.0
14,0,2715,1.0
86,50,2874,5.5
13,20,2257,3.5
8,20,2597,0.6
31,0,2341,1.5
29,20,3045,2.5
39,25,2772,2.0
15,20,2270,2.5
6,20,2786,0.4833333333333333
32,195,2864,14.0
24,50,2909,5.5
19,0,1706,2.5
8,20,2202,0.6166666666666667
16,35,2890,2.0
91,100,1914,4.0
35,20,2955,2.5
52,25,3106,10.5
18,20,2432,1.0
6,20,2348,1.0
150,180,2223,26.5
29,50,2839,14.5
16,195,2488,2.0
31,0,2374,6.5
9,20,2685,1.0
110,95,2547,2.5
88,50,2282,10.5
27,25,1810,2.5
194,150,2157,9.5
61,50,2479,2.5
34,85,2625,2.0
20,20,1970,0.6333333333333333
19,80,1879,2.0
38,35,2036,3.0
129,200,2384,11.0
50,30,1928,3.5
21,20,2641,3.0
16,40,1738,1.5
27,20,2181,1.0
64,20,3394,9.5
62,95,1786,2.5
48,20,2398,2.0
22,95,1873,1.0
15,145,2090,1.0
44,30,2356,7.0
14,40,1955,1.0
68,50,2219,16.5
15,20,1725,1.5
65,0,1984,5.5
18,95,2034,2.0
17,95,2363,1.5
196,40,2083,5.5
9,25,1863,0.5833333333333334
27,20,1676,2.5
9,20,1797,1.0
13,50,2608,2.5
16,95,1871,1.5
62,75,2459,4.5
28,20,2692,1.5
7,20,2529,1.5
35,100,2270,3.0
35,50,2185,2.5
15,200,1792,1.0
33,20,2830,6.0
12,195,2076,1.0
14,20,2257,3.5
16,20,2895,1.5
6,20,2445,1.0
30,100,1892,2.0
17,200,2259,1.0
16,55,2471,1.5
5,20,1667,0.5166666666666666
31,20,2587,2.0
24,20,3511,1.0
11,40,2356,0.5833333333333334
18,50,1836,2.0
7,20,2034,1.0
11,100,2239,0.5
26,50,2844,7.5
70,30,2395,7.0
14,50,1732,1.0
20,0,2122,4.0
20,0,1809,2.0
65,20,2031,2.5
10,30,3032,2.0
77,50,1905,17.5
9,30,2518,1.0
24,20,2279,1.5
35,40,1671,5.5
69,0,1739,20.5
79,40,1785,6.5
15,95,2998,1.0
90,85,2464,5.0
9,50,2017,0.5166666666666666
8,20,2216,0.65
28,40,1989,4.0
58,95,2313,7.0
14,20,2837,1.5
37,200,2622,5.5
14,35,2804,1.0
16,50,1794,2.0
23,75,2739,2.0
58,20,2441,6.0
9,50,2087,2.0
84,20,2384,5.5
23,75,2537,3.0
69,80,1758,4.5
34,95,2116,2.5
48,85,2625,3.5
26,20,2272,2.5
35,20,2528,3.0
41,20,2158,4.0
20,200,1830,3.0
194,150,2278,24.5
129,150,1900,13.5
62,150,1997,2.0
26,55,2062,4.0
12,20,2216,3.0
11,50,1763,1.0
8,20,1747,1.0
14,40,2357,1.5
145,200,1918,14.5
63,50,1916,1.5
24,195,2599,5.0
16,120,2588,1.5
34,20,3091,1.5
42,50,2880,4.5
9,20,2142,1.0
20,0,2009,0.6166666666666667
10,50,1978,1.0
9,35,2511,0.55
11,0,1697,1.5
100,0,1865,5.0
25,30,2233,1.5
88,40,2214,7.5
17,20,2369,2.0
159,195,1917,18.5
6,135,1670,1.0
14,30,1934,1.0
111,150,2048,21.0
34,20,2870,6.5
57,50,1891,6.5
46,45,2293,5.5
10,70,1752,1.5
14,0,2833,1.5
81,20,2453,4.5
20,30,1670,3.0
13,30,2497,1.5
8,20,2500,1.0
30,50,2121,6.0
113,95,1908,2.0
16,20,1727,1.0
31,100,1977,3.0
25,40,2269,4.0
22,0,3551,2.5
18,45,2179,1.0
10,30,2360,1.0
13,40,1830,1.0
5,20,3091,1.0
11,20,1803,1.0
87,60,2193,17.5
50,200,2263,5.5
28,85,1863,3.5
110,50,2522,9.0
24,50,2110,4.0
8,65,2278,1.0
18,90,1729,2.5
46,75,2364,4.5
13,20,2993,0.6333333333333333
26,100,2391,3.5
185,100,3692,12.0
27,25,2193,6.0
